series,sewer,episode,result
3,Deborah,6,NA
3,Lorna,1,NA
3,Lorna,2,NA
3,Lorna,3,Garment of the week
3,Lorna,4,NA
3,Lorna,5,NA
3,Lorna,6,Runner-up
3,Matt,1,NA
3,Matt,2,NA
3,Matt,3,NA
3,Matt,4,NA
3,Matt,5,NA
3,Matt,6,Winner
3,Neela,1,NA
3,Neela,2,NA
3,Neela,3,Eliminated
3,Neela,4,NA
3,Neela,5,NA
3,Neela,6,NA
3,Neil,1,Garment of the week
3,Neil,2,NA
3,Neil,3,NA
3,Neil,4,Garment of the week
3,Neil,5,Garment of the week
3,Neil,6,Runner-up
3,Paul,1,NA
3,Paul,2,Garment of the week
3,Paul,3,NA
3,Paul,4,NA
3,Paul,5,Eliminated
3,Paul,6,NA
3,Ryan,1,NA
3,Ryan,2,NA
3,Ryan,3,NA
3,Ryan,4,Eliminated
3,Ryan,5,NA
3,Ryan,6,NA
4,Angeline,1,Garment of the week
4,Angeline,2,Garment of the week
4,Angeline,3,NA
4,Angeline,4,NA
4,Angeline,5,Eliminated
4,Angeline,6,NA
4,Angeline,7,NA
4,Angeline,8,NA
4,Charlotte,1,NA
4,Charlotte,2,NA
4,Charlotte,3,Garment of the week
4,Charlotte,4,NA
4,Charlotte,5,NA
4,Charlotte,6,NA
4,Charlotte,7,Garment of the week
4,Charlotte,8,Winner
4,Duncan,1,Eliminated
4,Duncan,2,NA
4,Duncan,3,NA
4,Duncan,4,NA
4,Duncan,5,NA
4,Duncan,6,NA
4,Duncan,7,NA
4,Duncan,8,NA
4,Ghislaine,1,NA
4,Ghislaine,2,Eliminated
4,Ghislaine,3,NA
4,Ghislaine,4,NA
4,Ghislaine,5,NA
4,Ghislaine,6,NA
4,Ghislaine,7,NA
4,Ghislaine,8,NA
4,Jade,1,NA
4,Jade,2,NA
4,Jade,3,NA
4,Jade,4,NA
4,Jade,5,Garment of the week
4,Jade,6,Garment of the week
4,Jade,7,NA
4,Jade,8,Runner-up
4,Jamie,1,NA
4,Jamie,2,NA
4,Jamie,3,Eliminated
4,Jamie,4,NA
4,Jamie,5,NA
4,Jamie,6,NA
4,Jamie,7,NA
4,Jamie,8,NA
4,Josh,1,NA
4,Josh,2,NA
4,Josh,3,NA
4,Josh,4,Eliminated
4,Josh,5,NA
4,Josh,6,NA
4,Josh,7,NA
4,Josh,8,NA
4,Joyce,1,NA
4,Joyce,2,NA
4,Joyce,3,NA
4,Joyce,4,Garment of the week
4,Joyce,5,NA
4,Joyce,6,NA
4,Joyce,7,NA
4,Joyce,8,Runner-up
4,Rumana,1,NA
4,Rumana,2,NA
4,Rumana,3,NA
4,Rumana,4,NA
4,Rumana,5,NA
4,Rumana,6,Eliminated
4,Rumana,7,NA
4,Rumana,8,NA
4,Tracey,1,NA
4,Tracey,2,NA
4,Tracey,3,NA
4,Tracey,4,NA
4,Tracey,5,NA
4,Tracey,6,NA
4,Tracey,7,Eliminated
4,Tracey,8,NA
5,Alexei,1,NA
5,Alexei,2,NA
5,Alexei,3,NA
5,Alexei,4,Eliminated
5,Alexei,5,NA
5,Alexei,6,NA
5,Alexei,7,NA
5,Alexei,8,NA
5,Ben,1,NA
5,Ben,2,NA
5,Ben,3,Eliminated
5,Ben,4,NA
5,Ben,5,NA
5,Ben,6,NA
5,Ben,7,NA
5,Ben,8,NA
5,Janet,1,NA
5,Janet,2,NA
5,Janet,3,NA
5,Janet,4,NA
5,Janet,5,NA
5,Janet,6,Eliminated
5,Janet,7,NA
5,Janet,8,NA
5,Jen,1,NA
5,Jen,2,NA
5,Jen,3,NA
5,Jen,4,Garment of the week
5,Jen,5,NA
5,Jen,6,NA
5,Jen,7,Eliminated
5,Jen,8,NA
5,Juliet,1,Garment of the week
5,Juliet,2,NA
5,Juliet,3,NA
5,Juliet,4,NA
5,Juliet,5,Garment of the week
5,Juliet,6,NA
5,Juliet,7,NA
5,Juliet,8,Winner
5,Leah,1,NA
5,Leah,2,Garment of the week
5,Leah,3,NA
5,Leah,4,NA
5,Leah,5,NA
5,Leah,6,NA
5,Leah,7,NA
5,Leah,8,Runner-up
5,Mercedes,1,NA
5,Mercedes,2,NA
5,Mercedes,3,Garment of the week
5,Mercedes,4,NA
5,Mercedes,5,Eliminated
5,Mercedes,6,NA
5,Mercedes,7,NA
5,Mercedes,8,NA
5,Riccardo,1,NA
5,Riccardo,2,NA
5,Riccardo,3,NA
5,Riccardo,4,NA
5,Riccardo,5,NA
5,Riccardo,6,Garment of the week
5,Riccardo,7,Garment of the week
5,Riccardo,8,Runner-up
5,Sheila,1,NA
5,Sheila,2,Eliminated
5,Sheila,3,NA
5,Sheila,4,NA
5,Sheila,5,NA
5,Sheila,6,NA
5,Sheila,7,NA
5,Sheila,8,NA
5,Tom,1,Eliminated
5,Tom,2,NA
5,Tom,3,NA
5,Tom,4,NA
5,Tom,5,NA
5,Tom,6,NA
5,Tom,7,NA
5,Tom,8,NA
6,Alex,1,NA
6,Alex,2,Eliminated
6,Alex,3,NA
6,Alex,4,NA
6,Alex,5,NA
6,Alex,6,NA
6,Alex,7,NA
6,Alex,8,NA
6,Alex,9,NA
6,Alex,10,NA
6,Ali,1,NA
6,Ali,2,NA
6,Ali,3,NA
6,Ali,4,Garment of the week
6,Ali,5,Eliminated
6,Ali,6,NA
6,Ali,7,NA
6,Ali,8,NA
6,Ali,9,NA
6,Ali,10,NA
6,Angillia,1,Eliminated
6,Angillia,2,NA
6,Angillia,3,NA
6,Angillia,4,NA
6,Angillia,5,NA
6,Angillia,6,NA
6,Angillia,7,NA
6,Angillia,8,NA
6,Angillia,9,NA
6,Angillia,10,NA
6,Clare,1,NA
6,Clare,2,NA
6,Clare,3,NA
6,Clare,4,NA
6,Clare,5,NA
6,Clare,6,NA
6,Clare,7,NA
6,Clare,8,NA
6,Clare,9,Garment of the week
6,Clare,10,Winner
6,Fiona,1,NA
6,Fiona,2,NA
6,Fiona,3,Eliminated
6,Fiona,4,NA
6,Fiona,5,NA
6,Fiona,6,NA
6,Fiona,7,NA
6,Fiona,8,NA
6,Fiona,9,NA
6,Fiona,10,NA
6,Hazel,1,NA
6,Hazel,2,NA
6,Hazel,3,NA
6,Hazel,4,Eliminated
6,Hazel,5,NA
6,Hazel,6,NA
6,Hazel,7,NA
6,Hazel,8,NA
6,Hazel,9,NA
6,Hazel,10,NA
6,Liz,1,NA
6,Liz,2,NA
6,Liz,3,NA
6,Liz,4,NA
6,Liz,5,NA
6,Liz,6,NA
6,Liz,7,NA
6,Liz,8,NA
6,Liz,9,Eliminated
6,Liz,10,NA
6,Mark,1,NA
6,Mark,2,Garment of the week
6,Mark,3,NA
6,Mark,4,NA
6,Mark,5,NA
6,Mark,6,NA
6,Mark,7,NA
6,Mark,8,Eliminated
6,Mark,9,NA
6,Mark,10,NA
6,Matt,1,Garment of the week
6,Matt,2,NA
6,Matt,3,NA
6,Matt,4,NA
6,Matt,5,NA
6,Matt,6,Garment of the week
6,Matt,7,NA
6,Matt,8,NA
6,Matt,9,NA
6,Matt,10,Runner-up
6,Nicole,1,NA
6,Nicole,2,NA
6,Nicole,3,NA
6,Nicole,4,NA
6,Nicole,5,NA
6,Nicole,6,Garment of the week
6,Nicole,7,Garment of the week
6,Nicole,8,Garment of the week
6,Nicole,9,NA
6,Nicole,10,Runner-up
6,Peter,1,NA
6,Peter,2,NA
6,Peter,3,NA
6,Peter,4,NA
6,Peter,5,NA
6,Peter,6,Eliminated
6,Peter,7,NA
6,Peter,8,NA
6,Peter,9,NA
6,Peter,10,NA
6,Therese,1,NA
6,Therese,2,NA
6,Therese,3,Garment of the week
6,Therese,4,NA
6,Therese,5,Garment of the week
6,Therese,6,NA
6,Therese,7,Eliminated
6,Therese,8,NA
6,Therese,9,NA
6,Therese,10,NA
7,Adam,1,NA
7,Adam,2,NA
7,Adam,3,NA
7,Adam,4,NA
7,Adam,5,Eliminated
7,Adam,6,NA
7,Adam,7,NA
7,Adam,8,NA
7,Adam,9,NA
7,Adam,10,NA
7,Adeena,1,NA
7,Adeena,2,Garment of the week
7,Adeena,3,NA
7,Adeena,4,NA
7,Adeena,5,NA
7,Adeena,6,Eliminated
7,Adeena,7,NA
7,Adeena,8,NA
7,Adeena,9,NA
7,Adeena,10,NA
7,Andrew,1,NA
7,Andrew,2,NA
7,Andrew,3,NA
7,Andrew,4,NA
7,Andrew,5,NA
7,Andrew,6,NA
7,Andrew,7,Eliminated
7,Andrew,8,NA
7,Andrew,9,NA
7,Andrew,10,NA
7,Cathryn,1,NA
7,Cathryn,2,NA
7,Cathryn,3,NA
7,Cathryn,4,Eliminated
7,Cathryn,5,NA
7,Cathryn,6,NA
7,Cathryn,7,NA
7,Cathryn,8,NA
7,Cathryn,9,NA
7,Cathryn,10,NA
7,Damien,1,NA
7,Damien,2,NA
7,Damien,3,NA
7,Damien,4,NA
7,Damien,5,NA
7,Damien,6,NA
7,Damien,7,NA
7,Damien,8,Eliminated
7,Damien,9,NA
7,Damien,10,NA
7,Farie,1,NA
7,Farie,2,NA
7,Farie,3,Garment of the week
7,Farie,4,Garment of the week
7,Farie,5,Garment of the week
7,Farie,6,NA
7,Farie,7,NA
7,Farie,8,NA
7,Farie,9,Eliminated
7,Farie,10,NA
7,Jean,1,NA
7,Jean,2,Eliminated
7,Jean,3,NA
7,Jean,4,NA
7,Jean,5,NA
7,Jean,6,NA
7,Jean,7,NA
7,Jean,8,NA
7,Jean,9,NA
7,Jean,10,NA
7,Julie,1,Eliminated
7,Julie,2,NA
7,Julie,3,NA
7,Julie,4,NA
7,Julie,5,NA
7,Julie,6,NA
7,Julie,7,NA
7,Julie,8,NA
7,Julie,9,NA
7,Julie,10,NA
7,Lawratu,1,NA
7,Lawratu,2,NA
7,Lawratu,3,Eliminated
7,Lawratu,4,NA
7,Lawratu,5,NA
7,Lawratu,6,NA
7,Lawratu,7,NA
7,Lawratu,8,NA
7,Lawratu,9,NA
7,Lawratu,10,NA
7,Raph,1,Garment of the week
7,Raph,2,NA
7,Raph,3,NA
7,Raph,4,NA
7,Raph,5,NA
7,Raph,6,Garment of the week
7,Raph,7,Garment of the week
7,Raph,8,NA
7,Raph,9,NA
7,Raph,10,Runner-up
7,Rebecca,1,NA
7,Rebecca,2,NA
7,Rebecca,3,NA
7,Rebecca,4,NA
7,Rebecca,5,NA
7,Rebecca,6,NA
7,Rebecca,7,NA
7,Rebecca,8,Garment of the week
7,Rebecca,9,NA
7,Rebecca,10,Runner-up
7,Serena,1,NA
7,Serena,2,NA
7,Serena,3,NA
7,Serena,4,NA
7,Serena,5,NA
7,Serena,6,NA
7,Serena,7,NA
7,Serena,8,NA
7,Serena,9,Garment of the week
7,Serena,10,Winner
8,Angela,1,NA
8,Angela,2,NA
8,Angela,3,NA
8,Angela,4,NA
8,Angela,5,NA
8,Angela,6,Eliminated
8,Angela,7,NA
8,Angela,8,NA
8,Angela,9,NA
8,Angela,10,NA
8,Annie,1,NA
8,Annie,2,NA
8,Annie,3,NA
8,Annie,4,NA
8,Annie,5,NA
8,Annie,6,Garment of the week
8,Annie,7,NA
8,Annie,8,Garment of the week
8,Annie,9,Garment of the week
8,Annie,10,Winner
8,Brogan,1,NA
8,Brogan,2,NA
8,Brogan,3,NA
8,Brogan,4,NA
8,Brogan,5,NA
8,Brogan,6,NA
8,Brogan,7,NA
8,Brogan,8,NA
8,Brogan,9,NA
8,Brogan,10,Runner-up
8,Chichi,1,NA
8,Chichi,2,Eliminated
8,Chichi,3,NA
8,Chichi,4,NA
8,Chichi,5,NA
8,Chichi,6,NA
8,Chichi,7,NA
8,Chichi,8,NA
8,Chichi,9,NA
8,Chichi,10,NA
8,Cristian,1,NA
8,Cristian,2,NA
8,Cristian,3,NA
8,Cristian,4,NA
8,Cristian,5,NA
8,Cristian,6,NA
8,Cristian,7,NA
8,Cristian,8,Eliminated
8,Cristian,9,NA
8,Cristian,10,NA
8,Debra,1,Garment of the week
8,Debra,2,NA
8,Debra,3,Garment of the week
8,Debra,4,NA
8,Debra,5,Garment of the week
8,Debra,6,NA
8,Debra,7,NA
8,Debra,8,NA
8,Debra,9,NA
8,Debra,10,Runner-up
8,Gill,1,NA
8,Gill,2,NA
8,Gill,3,NA
8,Gill,4,Garment of the week
8,Gill,5,NA
8,Gill,6,NA
8,Gill,7,Eliminated
8,Gill,8,NA
8,Gill,9,NA
8,Gill,10,NA
8,Man Yee,1,NA
8,Man Yee,2,NA
8,Man Yee,3,NA
8,Man Yee,4,NA
8,Man Yee,5,NA
8,Man Yee,6,NA
8,Man Yee,7,Garment of the week
8,Man Yee,8,NA
8,Man Yee,9,NA
8,Man Yee,10,Runner-up
8,Marni,1,NA
8,Marni,2,Garment of the week
8,Marni,3,NA
8,Marni,4,NA
8,Marni,5,Eliminated
8,Marni,6,NA
8,Marni,7,NA
8,Marni,8,NA
8,Marni,9,NA
8,Marni,10,NA
8,Mitch,1,Eliminated
8,Mitch,2,NA
8,Mitch,3,NA
8,Mitch,4,NA
8,Mitch,5,NA
8,Mitch,6,NA
8,Mitch,7,NA
8,Mitch,8,NA
8,Mitch,9,NA
8,Mitch,10,NA
8,Richy,1,NA
8,Richy,2,NA
8,Richy,3,Eliminated
8,Richy,4,NA
8,Richy,5,NA
8,Richy,6,NA
8,Richy,7,NA
8,Richy,8,NA
8,Richy,9,NA
8,Richy,10,NA
8,Steve,1,NA
8,Steve,2,NA
8,Steve,3,NA
8,Steve,4,Eliminated
8,Steve,5,NA
8,Steve,6,NA
8,Steve,7,NA
8,Steve,8,NA
8,Steve,9,NA
8,Steve,10,NA
9,Asmaa,1,NA
9,Asmaa,2,NA
9,Asmaa,3,NA
9,Asmaa,4,NA
9,Asmaa,5,NA
9,Asmaa,6,NA
9,Asmaa,7,Garment of the week
9,Asmaa,8,Garment of the week
9,Asmaa,9,Garment of the week
9,Asmaa,10,Winner
9,Catherine,1,Eliminated
9,Catherine,2,NA
9,Catherine,3,NA
9,Catherine,4,NA
9,Catherine,5,NA
9,Catherine,6,NA
9,Catherine,7,NA
9,Catherine,8,NA
9,Catherine,9,NA
9,Catherine,10,NA
9,Fauve,1,NA
9,Fauve,2,NA
9,Fauve,3,NA
9,Fauve,4,NA
9,Fauve,5,Garment of the week
9,Fauve,6,Eliminated
9,Fauve,7,NA
9,Fauve,8,NA
9,Fauve,9,NA
9,Fauve,10,NA
9,Gillie,1,NA
9,Gillie,2,Eliminated
9,Gillie,3,NA
9,Gillie,4,NA
9,Gillie,5,NA
9,Gillie,6,NA
9,Gillie,7,NA
9,Gillie,8,NA
9,Gillie,9,NA
9,Gillie,10,NA
9,Lauren,1,NA
9,Lauren,2,NA
9,Lauren,3,NA
9,Lauren,4,NA
9,Lauren,5,NA
9,Lauren,6,NA
9,Lauren,7,NA
9,Lauren,8,Eliminated
9,Lauren,9,NA
9,Lauren,10,NA
9,Lizzie,1,NA
9,Lizzie,2,NA
9,Lizzie,3,Garment of the week
9,Lizzie,4,NA
9,Lizzie,5,NA
9,Lizzie,6,NA
9,Lizzie,7,Eliminated
9,Lizzie,8,NA
9,Lizzie,9,NA
9,Lizzie,10,NA
9,Maria,1,NA
9,Maria,2,NA
9,Maria,3,Eliminated
9,Maria,4,NA
9,Maria,5,NA
9,Maria,6,NA
9,Maria,7,NA
9,Maria,8,NA
9,Maria,9,NA
9,Maria,10,NA
9,Matthew,1,NA
9,Matthew,2,NA
9,Matthew,3,NA
9,Matthew,4,Eliminated
9,Matthew,5,NA
9,Matthew,6,NA
9,Matthew,7,NA
9,Matthew,8,NA
9,Matthew,9,NA
9,Matthew,10,NA
9,Mia,1,NA
9,Mia,2,Garment of the week
9,Mia,3,NA
9,Mia,4,Garment of the week
9,Mia,5,NA
9,Mia,6,NA
9,Mia,7,NA
9,Mia,8,NA
9,Mia,9,NA
9,Mia,10,Runner-up
9,Tony R,1,NA
9,Tony R,2,NA
9,Tony R,3,NA
9,Tony R,4,NA
9,Tony R,5,NA
9,Tony R,6,Garment of the week
9,Tony R,7,NA
9,Tony R,8,NA
9,Tony R,9,NA
9,Tony R,10,Runner-up
9,Tony W,1,Garment of the week
9,Tony W,2,NA
9,Tony W,3,NA
9,Tony W,4,NA
9,Tony W,5,Eliminated
9,Tony W,6,NA
9,Tony W,7,NA
9,Tony W,8,NA
9,Tony W,9,NA
9,Tony W,10,NA
9,Vicki,1,NA
9,Vicki,2,NA
9,Vicki,3,NA
9,Vicki,4,NA
9,Vicki,5,NA
9,Vicki,6,NA
9,Vicki,7,NA
9,Vicki,8,NA
9,Vicki,9,Eliminated
9,Vicki,10,NA
10,Ailsa,1,NA
10,Ailsa,2,NA
10,Ailsa,3,Garment of the week
10,Ailsa,4,NA
10,Ailsa,5,Garment of the week
10,Ailsa,6,NA
10,Ailsa,7,NA
10,Ailsa,8,NA
10,Ailsa,9,NA
10,Ailsa,10,Runner-up
10,Alex,1,NA
10,Alex,2,NA
10,Alex,3,NA
10,Alex,4,Garment of the week
10,Alex,5,NA
10,Alex,6,NA
10,Alex,7,NA
10,Alex,8,Eliminated
10,Alex,9,NA
10,Alex,10,NA
10,Comfort,1,NA
10,Comfort,2,Eliminated
10,Comfort,3,NA
10,Comfort,4,NA
10,Comfort,5,NA
10,Comfort,6,NA
10,Comfort,7,NA
10,Comfort,8,NA
10,Comfort,9,NA
10,Comfort,10,NA
10,Don,1,NA
10,Don,2,NA
10,Don,3,NA
10,Don,4,Eliminated
10,Don,5,NA
10,Don,6,NA
10,Don,7,NA
10,Don,8,NA
10,Don,9,NA
10,Don,10,NA
10,Georgie,1,NA
10,Georgie,2,Garment of the week
10,Georgie,3,NA
10,Georgie,4,NA
10,Georgie,5,NA
10,Georgie,6,Eliminated
10,Georgie,7,NA
10,Georgie,8,NA
10,Georgie,9,NA
10,Georgie,10,NA
10,Janet,1,NA
10,Janet,2,NA
10,Janet,3,Eliminated
10,Janet,4,NA
10,Janet,5,NA
10,Janet,6,NA
10,Janet,7,NA
10,Janet,8,NA
10,Janet,9,NA
10,Janet,10,NA
10,Lauren,1,NA
10,Lauren,2,NA
10,Lauren,3,NA
10,Lauren,4,NA
10,Lauren,5,Eliminated
10,Lauren,6,NA
10,Lauren,7,NA
10,Lauren,8,NA
10,Lauren,9,NA
10,Lauren,10,NA
10,Luke,1,NA
10,Luke,2,NA
10,Luke,3,NA
10,Luke,4,NA
10,Luke,5,NA
10,Luke,6,NA
10,Luke,7,NA
10,Luke,8,Garment of the week
10,Luke,9,NA
10,Luke,10,Winner
10,Marcus,1,NA
10,Marcus,2,NA
10,Marcus,3,NA
10,Marcus,4,NA
10,Marcus,5,NA
10,Marcus,6,NA
10,Marcus,7,Eliminated
10,Marcus,8,NA
10,Marcus,9,NA
10,Marcus,10,NA
10,Neil,1,Eliminated
10,Neil,2,NA
10,Neil,3,NA
10,Neil,4,NA
10,Neil,5,NA
10,Neil,6,NA
10,Neil,7,NA
10,Neil,8,NA
10,Neil,9,NA
10,Neil,10,NA
10,Pascha,1,NA
10,Pascha,2,NA
10,Pascha,3,NA
10,Pascha,4,NA
10,Pascha,5,NA
10,Pascha,6,Garment of the week
10,Pascha,7,Garment of the week
10,Pascha,8,NA
10,Pascha,9,Garment of the week
10,Pascha,10,Runner-up
10,Suzy,1,Garment of the week
10,Suzy,2,NA
10,Suzy,3,NA
10,Suzy,4,NA
10,Suzy,5,NA
10,Suzy,6,NA
10,Suzy,7,NA
10,Suzy,8,NA
10,Suzy,9,Eliminated
10,Suzy,10,NA
