series,sewer,episode,result
6,Nicole,1,NA
6,Liz,1,NA
6,Mark,1,NA
6,Therese,1,NA
6,Peter,1,NA
6,Ali,1,NA
6,Hazel,1,NA
6,Fiona,1,NA
6,Alex,1,NA
6,Angillia,1,Eliminated
6,Clare,2,NA
6,Matt,2,NA
6,Nicole,2,NA
6,Liz,2,NA
6,Mark,2,Garment of the week
6,Therese,2,NA
6,Peter,2,NA
6,Ali,2,NA
6,Hazel,2,NA
6,Fiona,2,NA
6,Alex,2,Eliminated
6,Clare,3,NA
6,Matt,3,NA
6,Nicole,3,NA
6,Liz,3,NA
6,Mark,3,NA
6,Therese,3,Garment of the week
6,Peter,3,NA
6,Ali,3,NA
6,Hazel,3,NA
6,Fiona,3,Eliminated
6,Clare,4,NA
6,Matt,4,NA
6,Nicole,4,NA
6,Liz,4,NA
6,Mark,4,NA
6,Therese,4,NA
6,Peter,4,NA
6,Ali,4,Garment of the week
6,Hazel,4,Eliminated
6,Clare,5,NA
6,Matt,5,NA
6,Nicole,5,NA
6,Liz,5,NA
6,Mark,5,NA
6,Therese,5,Garment of the week
6,Peter,5,NA
6,Ali,5,Eliminated
6,Clare,6,NA
6,Matt,6,Garment of the week
6,Nicole,6,Garment of the week
6,Liz,6,NA
6,Mark,6,NA
6,Therese,6,NA
6,Peter,6,Eliminated
6,Clare,7,NA
6,Matt,7,NA
6,Nicole,7,Garment of the week
6,Liz,7,NA
6,Mark,7,NA
6,Therese,7,Eliminated
6,Clare,8,NA
6,Matt,8,NA
6,Nicole,8,Garment of the week
6,Liz,8,NA
6,Mark,8,Eliminated
6,Clare,9,Garment of the week
6,Matt,9,NA
6,Nicole,9,NA
6,Liz,9,Eliminated
6,Clare,10,Winner
6,Matt,10,Runner-up
6,Nicole,10,Runner-up
7,Serena,1,NA
7,Raph,1,Garment of the week
7,Rebecca,1,NA
7,Farie,1,NA
7,Damien,1,NA
7,Andrew,1,NA
7,Adeena,1,NA
7,Adam,1,NA
7,Cathryn,1,NA
7,Lawratu,1,NA
7,Jean,1,NA
7,Julie,1,Eliminated
7,Serena,2,NA
7,Raph,2,NA
7,Rebecca,2,NA
7,Farie,2,NA
7,Damien,2,NA
7,Andrew,2,NA
7,Adeena,2,Garment of the week
7,Adam,2,NA
7,Cathryn,2,NA
7,Lawratu,2,NA
7,Jean,2,Eliminated
7,Serena,3,NA
7,Raph,3,NA
7,Rebecca,3,NA
7,Farie,3,Garment of the week
7,Damien,3,NA
7,Andrew,3,NA
7,Adeena,3,NA
7,Adam,3,NA
7,Cathryn,3,NA
7,Lawratu,3,Eliminated
7,Serena,4,NA
7,Raph,4,NA
7,Rebecca,4,NA
7,Farie,4,Garment of the week
7,Damien,4,NA
7,Andrew,4,NA
7,Adeena,4,NA
7,Adam,4,NA
7,Cathryn,4,Eliminated
7,Serena,5,NA
7,Raph,5,NA
7,Rebecca,5,NA
7,Farie,5,Garment of the week
7,Damien,5,NA
7,Andrew,5,NA
7,Adeena,5,NA
7,Adam,5,Eliminated
7,Serena,6,NA
7,Raph,6,Garment of the week
7,Rebecca,6,NA
7,Farie,6,NA
7,Damien,6,NA
7,Andrew,6,NA
7,Adeena,6,Eliminated
7,Serena,7,NA
7,Raph,7,Garment of the week
7,Rebecca,7,NA
7,Farie,7,NA
7,Damien,7,NA
7,Andrew,7,Eliminated
7,Serena,8,NA
7,Raph,8,NA
7,Rebecca,8,Garment of the week
7,Farie,8,NA
7,Damien,8,Eliminated
7,Serena,9,Garment of the week
7,Raph,9,NA
7,Rebecca,9,NA
7,Farie,9,Eliminated
7,Serena,10,Winner
7,Raph,10,Runner-up
7,Rebecca,10,Runner-up
8,Annie,1,NA
8,Brogan,1,NA
8,Debra,1,Garment of the week
8,Man Yee,1,NA
8,Cristian,1,NA
8,Gill,1,NA
8,Angela,1,NA
8,Marni,1,NA
8,Steve,1,NA
8,Richy,1,NA
8,Chichi,1,NA
8,Mitch,1,Eliminated
8,Annie,2,NA
8,Brogan,2,NA
8,Debra,2,NA
8,Man Yee,2,NA
8,Cristian,2,NA
8,Gill,2,NA
8,Angela,2,NA
8,Marni,2,Garment of the week
8,Steve,2,NA
8,Richy,2,NA
8,Chichi,2,Eliminated
8,Annie,3,NA
8,Brogan,3,NA
8,Debra,3,Garment of the week
8,Man Yee,3,NA
8,Cristian,3,NA
